WARNING: 2 open meshes merged
     Merged: Wing_CG
     Merged: KFm2_step
...Mass Properties...
7 Num Comps
5 Total Num Meshes
4016 Total Num Tris

6.137356692862024e-01             Total Mass
2.895159827235582e-01 3.456877704660008e-05 2.052841834618718e-02       Center of Gravity
4.288453940196517e-03 2.511300374414178e-02 2.857316976838533e-02       Ixx, Iyy, Izz
3.127313777712245e-07 -1.291546313622072e-04 -1.775182009320387e-07       Ixy, Ixz, Iyz
4.334854723569185e-03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Wing_CG	7.572178112827761e-02	3.802794737766506e-01	3.136331715808218e-04	-1.207683939489407e-05	2.470818332820928e-03	1.377219727515160e-03	3.847221410300646e-03	-2.366590713951754e-06	-2.367589836202082e-07	1.185669555649577e-07	1.221319050456099e-03
KFm2_step	3.788219811145198e-02	2.794344163586919e-01	-8.469990376176732e-05	4.996281117515910e-03	1.174785018534264e-03	5.146968754815189e-04	1.689025352709179e-03	4.331789009835361e-07	-1.322814002182325e-07	1.454255913561564e-07	6.110031953460057e-04
tail_cg	2.039140750983113e-03	5.383122675164986e-01	5.103483236442671e-02	8.680600162226522e-02	1.764309780988454e-06	3.353920157993415e-06	2.027566552828173e-06	1.003825538008125e-09	-8.277485788386008e-09	5.621139600465612e-07	3.288936695134049e-05
tail_cg	2.032657505764957e-03	5.383122675165002e-01	-5.109075333381734e-02	8.696445014493978e-02	1.739944926324211e-06	3.325794734296631e-06	2.019826667553060e-06	7.975040360836805e-09	-9.063255534829135e-09	-5.554074929686724e-07	3.278479848007994e-05
Fuselage	2.910598917897240e-01	2.570376736308776e-01	1.575773703719292e-06	4.142408034979363e-02	3.562312418651851e-04	1.027286567192933e-02	1.035320132041797e-02	1.014342729714042e-08	1.767914359258354e-04	-1.776502661368456e-08	2.436858312335664e-03
Battery_pm	1.200000000000000e-01	1.000000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Motor_pm	8.500000000000001e-02	5.800000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	6.137356692862024e-01	2.895159827235582e-01	3.456877704660008e-05	2.052841834618718e-02	4.288453940196517e-03	2.511300374414178e-02	2.857316976838533e-02	3.127313777712245e-07	-1.291546313622072e-04	-1.775182009320387e-07	4.334854723569185e-03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
10 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-4.891931463300377e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.867234012129750e-05
1.632863893916327e-02	7.666532601945490e-04	1.632863893916325e-02	-3.674904044157672e-18	2.598951972307005e-03	6.849495361433639e-08	6.864167480311165e-07	7.420238025804357e-07	2.524287774161690e-09	-1.793558002452787e-09	8.531333710493035e-10	3.219968540157659e-04
8.157659251133030e-02	5.501309762696817e-03	7.248374762804155e-02	-5.422446726369895e-05	2.471656220578587e-03	6.171153677184336e-06	7.741934332875316e-06	1.380588893429103e-05	-6.349969747202615e-09	-2.131586166865270e-08	8.502298363597219e-09	6.536646906665743e-04
1.468245460834973e-01	1.470942481146830e-02	1.190211638607731e-01	6.133203827687965e-05	2.592562928994877e-03	4.445806242953991e-05	3.505572903837047e-05	7.917800866234906e-05	3.015346068672616e-08	-1.530185171034996e-09	2.745378131991075e-08	1.054694005936099e-03
2.120724996556644e-01	2.802322248793416e-02	1.632297361915062e-01	2.902958831743020e-04	2.598497009019008e-03	1.618714416876563e-04	1.075413146244830e-04	2.687421322309571e-04	3.329711248222072e-07	-4.679598426130211e-08	9.634281186762194e-08	1.521345106719806e-03
2.773204532278314e-01	4.506425626526499e-02	2.063731035479205e-01	1.805205898359761e-04	2.545939584548608e-03	4.278061730731333e-04	2.607923632398417e-04	6.875294927488608e-04	-5.839456078327481e-08	-2.886354454135858e-07	1.532220663984463e-07	2.054206319408078e-03
